Name of Vessel,Captain,Tons,Ship Type,Nationality,To whom consigned,From,Latitude (from),Longitude (from),Date Arr. (dd/mm/yyy),Date Dep. (dd/mm/yyy),Bound to,Latitude (to),Longitude (to),Report Date (dd/mm/yyy),Page
Sherard Osborn c.s.,Saunders,875,Cargo,British,E. T. & Co.,Mombasa,-4.0434771,39.6682065,30/01/1909 00:00:00,03/02/1909 00:00:00,Mombasa,-4.0434771,39.6682065,09/02/1909 00:00:00,12
Concordia Sailing ship,Eriksen,1207,Cargo,Norwegian,N.E.A.T. Co.,Fredrikshald,59.1329964,11.3874569,30/01/1909 00:00:00,,Fredrikshald,59.1329964,11.3874569,09/02/1909 00:00:00,12
Berbera s.s.,Packham,2791,Cargo,British,S. M. & Co.,London,51.5072178,-0.1275862,31/01/1909 00:00:00,03/02/1909 00:00:00,Mombasa,-4.0434771,39.6682065,09/02/1909 00:00:00,12
Kilwa s.s.,Noorudin,161,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,02/02/1909 00:00:00,08/02/1909 00:00:00,Pemba,-5.0319352,39.7755571,09/02/1909 00:00:00,12
M. Meanatchey s.s.,Tilling,1368,Cargo,British,S. M. & Co.,Aden,12.7906378,45.0175921,03/02/1909 00:00:00,,Aden,12.7906378,45.0175921,09/02/1909 00:00:00,12
Rovuma s.s.,Hasseinitter,55,Cargo,German,C. D. & Bros.,Daressalaam,-6.8165054,39.2894367,03/02/1909 00:00:00,04/02/1909 00:00:00,Daressalaam,-6.8165054,39.2894367,09/02/1909 00:00:00,12
Admiral s.s.,Doherr,3696,Cargo,German,D.O.A.L.,Durban,-29.8586804,31.0218404,04/02/1909 00:00:00,07/02/1909 00:00:00,Europe,54.5259614,15.2551187,09/02/1909 00:00:00,12
Barawa s.s.,Jaffer,165,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,04/02/1909 00:00:00,08/02/1909 00:00:00,Pemba,-5.0319352,39.7755571,09/02/1909 00:00:00,12
Woodcock s.s.,Gourlay,59,Cargo,British,C. D. & Bros.,Aden,12.7906378,45.0175921,07/02/1909 00:00:00,,Aden,12.7906378,45.0175921,09/02/1909 00:00:00,12
Cougella s.s.,Howes,1022,Cargo,British,,Bombay,19.0759837,72.8776559,07/02/1909 00:00:00,07/02/1909 00:00:00,Durban,-29.8586804,31.0218404,09/02/1909 00:00:00,12
Hermione H.M.S.,C.E. Hunter,,Men-of-War,British,,Mombasa,-4.0434771,39.6682065,29/01/1909 00:00:00,09/02/1909 00:00:00,Monbasa,-4.0434771,39.6682065,09/02/1909 00:00:00,12
Concordia Sailing ship,Eriksen,1207,Cargo,Norwegian,N.E.A.T. Co.,Fredrikshald,59.1329964,11.3874569,30/01/1909 00:00:00,22/02/1909 00:00:00,India,20.593684,78.96288,16/02/1909 00:00:00,28
Barawa s.s.,Jaffer,165,Cargo,Zanzibar,Z'bar Govt.,Pemba,-5.0319352,39.7755571,11/02/1909 00:00:00,22/02/1909 00:00:00,Pemba,-5.0319352,39.7755571,16/02/1909 00:00:00,28
